locus	average_fitness	sd	sem	N_insertions
SP_0536	1.023	0.083	0.010	71
SP_0539	1.009	0.066	0.008	72
SP_0540	1.010	0.088	0.015	36
SP_0541	1.014	0.018	0.010	3
SP_0542	1.019	0.054	0.010	28
SP_0543	0.994	0.071	0.008	72
SP_0544	1.006	0.070	0.008	79
SP_0545	1.004	0.064	0.006	113
SP_0546	1.026	0.095	0.012	67
SP_0547	1.030	0.084	0.010	76
SP_0548	1.006	0.030	0.015	4
SP_0549	0			0
SP_0550	0.968	0.083	0.020	18
SP_0552	0			0
SP_0553	1.108	0.023	0.017	2
SP_0554	0			0
SP_0555	0			0
SP_0556	0			0
SP_0557	1.040	0.033	0.023	2
SP_0558	1.019	0.162	0.014	126
SP_0559	1.025	0.071	0.014	25
SP_0560	1.001	0.073	0.013	33
SP_0561	1.001	0.063	0.015	17
SP_0562	1.006	0.080	0.009	78
SP_0563	0.958	0.106	0.047	5
SP_0564	0.994	0.080	0.014	31
SP_0565	0.971	0.083	0.018	22
SP_0566	1.062	0.055	0.013	18
SP_0567	0.994	0.067	0.012	29
SP_0568	0			0
SP_0569	0.994	0.084	0.018	23
SP_0570	1.022	0.094	0.007	202
SP_0571	1.114	0.039	0.020	4
SP_0573	0.992	0.047	0.011	19
SP_0574	0.996	0.071	0.009	66
SP_0575	0.996	0.095	0.005	299
SP_0576	1.005	0.074	0.005	188
SP_0577	1.007	0.069	0.003	466
SP_0578	1.007	0.092	0.004	468
SP_0579	0			0
SP_0580	1.017	0.067	0.014	23
SP_0581	0.959	0.020	0.010	4
SP_0582	1.023	0.118	0.008	196
SP_0584	1.000	0.060	0.011	31
SP_0585	0.984	0.076	0.006	178
SP_0586	1.022	0.080	0.010	64
SP_0587	1.104	0.086	0.018	24
SP_0588	1.043	0.076	0.009	67
SP_0589 (*)	0.928	0.085	0.018	23
SP_0590	1.008	0.058	0.007	74
SP_0591	0			0
SP_0592	0.955	0.081	0.017	23
SP_0593	1.113	0.146	0.019	62
SP_0595	0.997	0.072	0.009	65
SP_0596	1.026	0.028	0.014	4
SP_0598	1.028	0.073	0.019	15
SP_0599	1.038	0.069	0.008	85
SP_0600	1.021	0.106	0.010	114
SP_0601	1.024	0.072	0.006	132
SP_0602	1.018	0.087	0.013	43
SP_0603	1.007	0.082	0.012	47
SP_0604	1.021	0.078	0.006	172
SP_0605	1.052	0.055	0.032	3
SP_0606	1.028	0.092	0.006	217
SP_0607	1.040	0.073	0.008	88
SP_0608	1.026	0.065	0.006	123
SP_0609	1.035	0.062	0.007	84
SP_0610	1.036	0.076	0.012	40
SP_0611	0.942	0.039	0.022	3
SP_0612	1.030	0.030	0.013	5
SP_0613	1.079	0	0	2
SP_0614	0.972	0.100	0.019	29
SP_0615	1.013	0.078	0.008	93
SP_0616	0.809	0.152	0.057	7
SP_0617	1.017	0.065	0.008	67
SP_0618	1.035	0.073	0.028	7
SP_0619	1.032	0.067	0.012	31
SP_0620	1.011	0.080	0.010	70
SP_0621	0.958	0.111	0.045	6
SP_0622	0.986	0.110	0.018	37
SP_0623	0.785	0.121	0.020	36
SP_0624	0.997	0.083	0.013	41
SP_0625	0.981	0.075	0.012	38
SP_0626	1.003	0.072	0.007	97
SP_0627	1.009	0.108	0.009	130
SP_0628	0.997	0.087	0.014	38
SP_0629	0.965	0.072	0.011	43
SP_0630	0			0
SP_0631	0.937	0.104	0.043	6
SP_0633	1.013	0.110	0.010	116
SP_0634	1.015	0.069	0.008	78
SP_0635	1.076	0.063	0.032	4
SP_0636	1.000	0.066	0.009	54
SP_0637	1.023	0.073	0.008	77
SP_0638	1.016	0.118	0.011	111
SP_0639	1.008	0.068	0.010	48
SP_0640	1.033	0.055	0.017	11
SP_0641	1.019	0.090	0.002	1368
SP_0645	1.028	0.076	0.016	23
SP_0646	1.004	0.042	0.024	3
SP_0647	1.012	0.066	0.005	184
SP_0648	1.011	0.075	0.003	736
SP_0649	1.015	0.071	0.006	141
SP_0650	0.903	0.083	0.017	24
SP_0651	1.016	0.071	0.008	89
SP_0652	0.999	0.064	0.008	57
SP_0653	1.033	0.039	0.022	3
SP_0654	0.957	0.100	0.041	6
SP_0655	1.013	0.069	0.005	165
SP_0657	1.040	0.074	0.008	91
SP_0658	0.971	0.074	0.007	104
SP_0659	0.992	0.062	0.009	47
SP_0660	1.039	0.102	0.011	87
SP_0661	1.017	0.084	0.011	63
SP_0662	1.013	0.071	0.006	168
SP_0663	0.984	0.074	0.010	58
SP_0664	1.025	0.095	0.003	1213
SP_0665	0.993	0.061	0.005	134
SP_0666	1.018	0.077	0.011	49
SP_0667	1.021	0.068	0.006	133
SP_0668	0.989	0.079	0.011	54
SP_0669	0			0
SP_0670	0.928	0.061	0.025	6
SP_0671	0			0
SP_0672	1.008	0.075	0.011	49
SP_0673	1.006	0.052	0.008	37
SP_0674	0			0
SP_0675	1.017	0.072	0.012	38
SP_0676	1.014	0.070	0.007	108
SP_0677	1.040	0.193	0.029	44
SP_0678	1.003	0.063	0.009	46
SP_0679	1.012	0.076	0.011	47
SP_0680	1.021	0.078	0.008	84
SP_0681	0			0
SP_0682	0.933	0.122	0.043	8
SP_0683	1.013	0.079	0.013	35
SP_0684	0.996	0.060	0.013	21
SP_0685	0.950	0.053	0.024	5
SP_0686	1.018	0.073	0.004	314
SP_0687	1.006	0.062	0.007	83
SP_0688	0			0
SP_0689	0			0
SP_0690	0.654	0	0	1
SP_0691	0.984	0.113	0.038	9
SP_0692	1.060	0.049	0.022	5
SP_0693	1.010	0.062	0.009	44
SP_0694	1.002	0.082	0.007	139
SP_0695	1.002	0.103	0.008	154
SP_0696	0.984	0.154	0.012	170
SP_0697	1.002	0.114	0.011	104
SP_0698	0.995	0.066	0.007	98
SP_0699	1.030	0.057	0.012	23
SP_0701	1.059	0.025	0.013	4
SP_0702	1.024	0.064	0.024	7
SP_0703	1.024	0.085	0.009	91
SP_0704	1.003	0.068	0.005	170
SP_0705	1.014	0.069	0.005	232
SP_0706	1.002	0.075	0.006	134
SP_0707	1.016	0.070	0.006	152
SP_0708	1.012	0.062	0.007	76
SP_0709	1.003	0.072	0.010	50
SP_0710	1.004	0.070	0.009	63
SP_0711	1.019	0.125	0.015	73
SP_0713	0			0
SP_0715	1.031	0.073	0.010	57
SP_0716	1.025	0.083	0.011	54
SP_0717	1.007	0.101	0.008	145
SP_0718	1.016	0.089	0.007	147
SP_0719	1.006	0.072	0.008	72
SP_0720	0.994	0.077	0.007	111
SP_0721	0.974	0.066	0.008	69
SP_0722	0.997	0.099	0.012	70
SP_0723	1.018	0.068	0.008	79
SP_0724	1.015	0.066	0.008	74
SP_0725	0.983	0.076	0.011	49
SP_0726	0.996	0.087	0.012	56
SP_0727	1.033	0.094	0.018	26
SP_0728	0.992	0.069	0.011	42
SP_0729	0.995	0.110	0.008	201
SP_0730	1.011	0.057	0.021	7
SP_0731	0.999	0.057	0.011	25
SP_0735	1.013	0.083	0.013	43
SP_0736	0.977	0.071	0.023	10
SP_0737	1.012	0.077	0.008	95
SP_0738	1.001	0.068	0.015	21
SP_0739	1.019	0.061	0.009	48
SP_0740	1.008	0.078	0.012	40
SP_0741	0.998	0.077	0.010	63
SP_0742	0.827	0.130	0.019	49
SP_0743	0.946	0.174	0.039	20
SP_0744	1.007	0.069	0.007	95
SP_0745	0.926	0.112	0.023	23
SP_0746	0.959	0.083	0.031	7
SP_0747	1.003	0.084	0.028	9
SP_0748	0.969	0.070	0.013	31
SP_0749	1.022	0.112	0.012	83
SP_0750	1.014	0.075	0.007	100
SP_0751	1.010	0.092	0.011	77
SP_0752	1.005	0.086	0.010	76
SP_0753	1.033	0.058	0.010	35
SP_0754	1.013	0.100	0.013	64
SP_0755	0			0
SP_0756	0			0
SP_0757	0.959	0	0	1
SP_0758	1.006	0.077	0.006	187
SP_0759	0.876	0.037	0.022	3
SP_0760	1.000	0.099	0.012	71
SP_0761	0.994	0	0	1
SP_0762	0			0
SP_0763	1.016	0.090	0.026	12
SP_0764	1.022	0.086	0.011	57
SP_0765	1.051	0	0	1
SP_0766	0.942	0.044	0.026	3
SP_0767	0.952	0.079	0.011	48
SP_0768	0.996	0.076	0.008	82
SP_0769	1.000	0.073	0.011	43
SP_0770	0.992	0.071	0.007	110
SP_0771	0.966	0.082	0.008	98
SP_0772	1.020	0.074	0.014	30
SP_0773	0.948	0.044	0.017	7
SP_0774	0.988	0.087	0.013	43
SP_0775	0			0
SP_0776	0.798	0	0	1
SP_0777	0.985	0.080	0.010	69
SP_0778	0.914	0	0	1
SP_0779	0			0
SP_0780	0.969	0.074	0.021	12
SP_0781	1.013	0.064	0.014	20
SP_0782	1.003	0.015	0.011	2
SP_0783	1.019	0.099	0.018	31
SP_0784	1.023	0.070	0.006	127
SP_0785	0.985	0.092	0.009	112
SP_0786	1.023	0.122	0.023	28
SP_0787	1.004	0.083	0.007	134
SP_0788	1.053	0.060	0.027	5
SP_0789	1.038	0.047	0.021	5
SP_0790	1.008	0.078	0.008	92
SP_0791	1.001	0.064	0.006	104
SP_0792	0.976	0.036	0.010	14
